,UTC
325,13:22:26.195
326,13:23:03.775
327,13:23:41.559
328,13:24:19.346
329,13:25:31.114
330,13:25:34.712
331,13:26:12.500
332,13:26:50.298
333,13:27:28.169
334,13:28:05.644
335,13:28:43.106
336,13:29:21.317
337,13:29:59.312
338,13:30:37.298
339,13:31:18.466
340,13:31:56.069
341,13:32:33.726
342,13:33:11.518
343,13:33:49.195
344,13:34:26.878
345,13:35:04.772
346,13:35:42.459
347,13:36:20.144
348,13:36:57.919
349,13:37:35.417
350,13:38:12.933
351,13:38:50.504
352,13:39:28.184
353,13:40:05.830
354,13:40:43.607
355,13:41:21.405
356,13:41:59.287
357,13:42:37.362
